	model	quantization	file	version	input_tokens	max_length	time	output_tokens	lloc	primary_errors_rank	secondary_errors_index	commented_lines	cyclomatic_complexity_index	halstead_volume	maintainability_index	syntax_error	loop	partial_code	primary_error_text
55	Artigenz-Coder-DS-6.7B	Q16	file_7	v2	7957.0	16384.0	18.23	8531.0	2.0	Good	0.12	0.0	50.0	0.0	100.0		False	False	
56	deepseek-coder-33b-instruct	Q4	file_1	v1	508.0	2032.0	18.23	494.0	13.0	Good	0.18	0.0	7.7	15.5	67.2		False	False	
57	deepseek-coder-33b-instruct	Q4	file_2	v1	711.0	2844.0	25.85	708.0	17.0	Mediocre	0.1	20.5	5.9	84.0	85.0		False	False	"Undefined variable 'np'
"
58	deepseek-coder-33b-instruct	Q4	file_3	v1	884.0	3536.0	24.36	643.0	18.0	Good	0.02	4.4	22.2	98.1	70.8		False	False	
59	deepseek-coder-33b-instruct	Q4	file_4	v1	3260.0	13040.0	25.04	289.0									False	False	
60	deepseek-coder-33b-instruct	Q4	file_5	v1	3801.0	15204.0	34.24	646.0	14.0	Good	0.07	18.8	7.1	36.0	87.9		False	False	
61	deepseek-coder-33b-instruct	Q4	file_6	v1	4719.0	16384.0	47.83	934.0	23.0	Good	0.05	9.3	4.3	144.9	73.0		False	False	
62	deepseek-coder-33b-instruct	Q4	file_7	v1	7865.0	16384.0	52.77	794.0	16.0	Good	0.22	2.6	6.2	0.0	100.0		False	False	
63	deepseek-coder-33b-instruct	Q4	file_1	v2	600.0	2400.0	20.47	551.0	9.0	Good	0.2	19.2	11.1	15.5	99.8		False	False	
64	deepseek-coder-33b-instruct	Q4	file_2	v2	803.0	3212.0	27.6	762.0	18.0	Good	0.17	23.9	5.6	92.0	85.6		False	False	
65	deepseek-coder-33b-instruct	Q4	file_3	v2	976.0	3904.0	36.49	1043.0	30.0	Good	0.02	13.3	13.3	98.1	73.9		False	False	
66	deepseek-coder-33b-instruct	Q4	file_4	v2	3352.0	13408.0	37.16	798.0	16.0	Good	0.12	20.0	6.2	0.0	100.0		False	False	
67	deepseek-coder-33b-instruct	Q4	file_5	v2	3893.0	15572.0	30.74	523.0	14.0	Good	0.14	12.5	7.1	69.8	82.6		False	False	
68	deepseek-coder-33b-instruct	Q4	file_6	v2	4811.0	16384.0	25.72	281.0	2.0	Good	0.25	20.0	50.0	0.0	100.0		False	False	
69	deepseek-coder-33b-instruct	Q4	file_7	v2	7957.0	16384.0	121.83	2578.0	78.0	Good	0.03	2.7	5.1	698.7	48.1		False	False	"Using variable 'baseprop' before assignment
Undefined variable 'espay'
Undefined variable 'stima_n'
Undefined variable 'variap95'
Undefined variable 'mediaistat'
Undefined variable 'estremi_p'
Undefined variable 'mediat'
Undefined variable 'red_ult'
Undefined variable 'eco'
Undefined variable 'correttivo'
Undefined variable 'variap5'
"
70	OpenCodeInterpreter-DS-33B	Q4	file_1	v1	508.0	2032.0	22.48	623.0	16.0	Good	0.14	29.0	6.2	15.5	93.6		False	False	"Undefined variable 'pd'
"
71	OpenCodeInterpreter-DS-33B	Q4	file_2	v1	711.0	2844.0	28.75	805.0	20.0	Mediocre	0.1	34.8	5.0	84.0	87.2		False	False	"Undefined variable 'np'
Undefined variable 'pd'
"
72	OpenCodeInterpreter-DS-33B	Q4	file_3	v1	884.0	3536.0	32.73	922.0	18.0	Good	0.02	22.2	22.2	102.0	84.2		False	False	
73	OpenCodeInterpreter-DS-33B	Q4	file_4	v1	3260.0	13040.0	96.61	2522.0								"  File ""<unknown>"", line 5
    with SAS7BDAT('C:\Users\mcandi\OneDrive - KPMG\Desktop\project\SAS_scripts\Data_sets\geografica_comune.sas7bdat') as file:
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: (unicode error) 'unicodeescape' codec can't decode bytes in position 2-3: truncated \UXXXXXXXX escape
"	False	False	
74	OpenCodeInterpreter-DS-33B	Q4	file_5	v1	3801.0	15204.0	18.54	157.0									False	False	
75	OpenCodeInterpreter-DS-33B	Q4	file_6	v1	4719.0	16384.0	18.57	74.0									False	False	
76	OpenCodeInterpreter-DS-33B	Q4	file_7	v1	7865.0	16384.0	26.85	96.0									False	False	
77	OpenCodeInterpreter-DS-33B	Q4	file_1	v2	600.0	2400.0	26.78	593.0	10.0	Good	0.25	36.8	10.0	15.5	99.0		False	False	
78	OpenCodeInterpreter-DS-33B	Q4	file_2	v2	803.0	3212.0	8.39	76.0									False	False	
79	OpenCodeInterpreter-DS-33B	Q4	file_3	v2	976.0	3904.0	35.9	1016.0	30.0	Good	0.14	19.2	23.3	167.2	76.0		False	False	
80	OpenCodeInterpreter-DS-33B	Q4	file_4	v2	3352.0	13408.0	13.85	53.0									False	False	
81	OpenCodeInterpreter-DS-33B	Q4	file_5	v2	3893.0	15572.0	47.26	1026.0	16.0	Good	0.05	20.0	6.2	75.3	85.6		False	False	
82	OpenCodeInterpreter-DS-33B	Q4	file_6	v2	4811.0	16384.0	17.26	28.0									False	False	
83	OpenCodeInterpreter-DS-33B	Q4	file_7	v2	7957.0	16384.0	133.92	2884.0									False	False	
